epoch,train_nll_per_dim
0,-1.2156619429588318
1,-1.2305176556110382
2,-1.2502218186855316
3,-1.2668706774711609
4,-1.2829720973968506
5,-1.3074264228343964
6,-1.3364201784133911
7,-1.362240582704544
8,-1.3888988196849823
9,-1.4122920036315918
10,-1.435053527355194
11,-1.4557395577430725
12,-1.478115975856781
13,-1.4947863519191742
14,-1.5088639557361603
15,-1.526181161403656
16,-1.5361661612987518
17,-1.5503536760807037
18,-1.5621821880340576
19,-1.5744937658309937
20,-1.5853997468948364
21,-1.5951321721076965
22,-1.6017042696475983
23,-1.6102478504180908
24,-1.6164074540138245
25,-1.6261720955371857
26,-1.6351975798606873
27,-1.6464731991291046
28,-1.6562711000442505
29,-1.6623551547527313
30,-1.6637223064899445
31,-1.6739093363285065
32,-1.678516685962677
33,-1.6857187449932098
34,-1.6918036341667175
35,-1.702287346124649
36,-1.7116314768791199
37,-1.7181868255138397
38,-1.728018045425415
39,-1.7341025173664093
40,-1.742768406867981
41,-1.7447902262210846
42,-1.7454486191272736
43,-1.752389520406723
44,-1.7597768008708954
45,-1.7641583383083344
46,-1.7690359055995941
47,-1.773957073688507
48,-1.7781334519386292
49,-1.7836407124996185
50,-1.7914739847183228
51,-1.792160302400589
52,-1.7980967164039612
53,-1.805609107017517
54,-1.8070088922977448
55,-1.8163141906261444
56,-1.8230111300945282
57,-1.8283681273460388
58,-1.828281432390213
59,-1.836979627609253
60,-1.8454705774784088
61,-1.8467071652412415
62,-1.853560894727707
63,-1.8580646514892578
64,-1.865152657032013
65,-1.8680789470672607
66,-1.8720544278621674
67,-1.876169204711914
68,-1.8834067285060883
69,-1.8860758543014526
70,-1.8879472017288208
71,-1.8957509994506836
72,-1.9004079401493073
73,-1.903792679309845
74,-1.9124875366687775
75,-1.9158198237419128
76,-1.914787769317627
77,-1.9165709912776947
78,-1.9170463681221008
79,-1.9272451996803284
80,-1.9340124428272247
81,-1.9314383268356323
82,-1.9368575811386108
83,-1.9444928467273712
84,-1.94278022646904
85,-1.9492734372615814
86,-1.9528176188468933
87,-1.9586085975170135
88,-1.9582454562187195
89,-1.9670550525188446
90,-1.971634328365326
91,-1.9700413346290588
92,-1.97725048661232
93,-1.9794164597988129
94,-1.9834029972553253
95,-1.9906926155090332
96,-1.9930990636348724
97,-1.9949114620685577
98,-1.997974455356598
99,-1.9978849589824677
100,-2.0032624304294586
101,-2.0061806440353394
102,-2.0088399946689606
103,-2.0103114247322083
104,-2.011215031147003
105,-2.0119137167930603
106,-2.016047179698944
107,-2.0178160667419434
108,-2.0213690400123596
109,-2.017150640487671
110,-2.0246763229370117
111,-2.0266858339309692
112,-2.026893436908722
113,-2.0322513580322266
114,-2.0350000262260437
115,-2.03828763961792
116,-2.039872705936432
117,-2.0448638796806335
118,-2.044612765312195
119,-2.045896053314209
120,-2.048715054988861
121,-2.047189235687256
122,-2.05143141746521
123,-2.054418981075287
124,-2.052911639213562
125,-2.0579510927200317
126,-2.06086665391922
127,-2.066017746925354
128,-2.066996991634369
129,-2.070509433746338
130,-2.072160840034485
131,-2.071441888809204
132,-2.0733448266983032
133,-2.074190616607666
134,-2.0745002031326294
135,-2.0794527530670166
136,-2.0792585611343384
137,-2.081142783164978
138,-2.0835569500923157
139,-2.0851129293441772
140,-2.0857053399086
141,-2.085165560245514
142,-2.0905104279518127
143,-2.0905211567878723
144,-2.0916905403137207
145,-2.0939778089523315
146,-2.096580922603607
147,-2.0974966883659363
148,-2.098122537136078
149,-2.098240852355957
150,-2.0996110439300537
151,-2.0995222330093384
152,-2.10201895236969
153,-2.1037657260894775
154,-2.104922115802765
155,-2.1049453616142273
156,-2.10416179895401
157,-2.1066548228263855
158,-2.107755482196808
159,-2.1110419631004333
160,-2.1094412207603455
161,-2.1086519956588745
162,-2.1126498579978943
163,-2.112891912460327
164,-2.114254653453827
165,-2.115460515022278
166,-2.1148772835731506
167,-2.1155675649642944
168,-2.116915464401245
169,-2.116267442703247
170,-2.1168813705444336
171,-2.1182177662849426
172,-2.1181585788726807
173,-2.1199145913124084
174,-2.1191839575767517
175,-2.120057463645935
176,-2.121053397655487
177,-2.122257173061371
178,-2.121895909309387
179,-2.122481048107147
180,-2.1213439106941223
181,-2.12288898229599
182,-2.123396337032318
183,-2.122837007045746
184,-2.124051868915558
185,-2.1234903931617737
186,-2.1244964003562927
187,-2.123327076435089
188,-2.1239303946495056
189,-2.12478107213974
190,-2.1237510442733765
191,-2.1240973472595215
192,-2.1245524287223816
193,-2.1236464977264404
194,-2.1248088479042053
195,-2.1251436471939087
196,-2.1247443556785583
197,-2.124917447566986
198,-2.1236928701400757
199,-2.124827742576599
