epoch,train_nll_per_dim,val_nll_per_dim
0,6699.12298913002,0.639204204082489
1,10.144751596450806,-0.8931260704994202
2,8.297452259063721,-1.0544148683547974
3,4.806941592693329,-1.1075633764266968
4,-0.16068876385688782,-1.1836008429527283
5,0.07749782800674439,-1.2183887958526611
6,0.9753024876117706,-1.2100281119346619
7,-0.19493860453367234,-1.1628535389900208
8,0.3321793556213379,-1.1621290445327759
9,-0.504851245880127,-1.2382705807685852
10,-0.8133030384778976,-1.2875813841819763
11,0.5076365262269974,-1.2738502025604248
12,-0.44034500122070314,-1.2992318868637085
13,-0.6940639168024063,-1.3261598348617554
14,-1.0126573413610458,-1.3325158953666687
15,-0.8566570460796357,-1.3125101923942566
16,-0.8001003682613372,-1.350146234035492
17,-0.7932865709066391,-1.3692325353622437
18,-1.055868723988533,-1.380531907081604
19,-0.9109762370586395,-1.3811973929405212
20,-0.9747537791728973,-1.3959587812423706
21,-1.0109843075275422,-1.3110210299491882
22,-1.096250656247139,-1.362733542919159
23,-1.1613943994045257,-1.422877848148346
24,-1.0749447405338288,-1.427605152130127
25,-1.2632121026515961,-1.4385731220245361
26,-1.1245679646730422,-1.4160341024398804
27,-1.2572519779205322,-1.396723449230194
28,-1.1398924946784974,-1.451659619808197
29,-1.2707311689853669,-1.4614955186843872
30,-1.2058340519666673,-1.4733506441116333
31,-1.14983312189579,-1.4167994856834412
32,-1.0587951213121414,-1.441403090953827
33,-1.1020884782075882,-1.4564822912216187
34,-0.9669795304536819,-1.4640069007873535
35,-1.179732358455658,-1.4728464484214783
36,-1.2440998077392578,-1.466610848903656
37,-1.2499266117811203,-1.4729890823364258
38,-1.313151216506958,-1.45554518699646
39,-1.3281027615070342,-1.4627324342727661
40,-1.213044273853302,-1.476491928100586
41,-1.3463862717151642,-1.4746681451797485
42,-1.2209752768278122,-1.5065929889678955
43,-1.2747608125209808,-1.5276530981063843
44,-1.3541814863681794,-1.5422700643539429
45,-1.4130680859088898,-1.5459362268447876
46,-1.387551498413086,-1.5500914454460144
47,-1.3919726073741914,-1.559647560119629
48,-1.3859803199768066,-1.5126066207885742
49,-1.122352761030197,-1.5298476219177246
50,195697950.66648722,2.3903167247772217
51,754.4113333866001,-1.2862913012504578
52,-1.2566040337085724,-1.4339306354522705
53,-1.1859579026699065,-1.4813527464866638
54,-1.3287466764450073,-1.5044262409210205
55,-1.4006592452526092,-1.520418643951416
56,-1.0439986884593964,-1.5054696798324585
57,-1.2319380402565003,-1.4915295243263245
58,-1.3784991919994354,-1.5310619473457336
59,-1.387503558397293,-1.5627845525741577
60,-1.4260945618152618,-1.5511338710784912
61,-1.392794680595398,-1.5981429815292358
62,-1.4726110517978668,-1.6163499355316162
63,-1.5047451615333558,-1.6016561388969421
64,-1.5014378547668457,-1.6243399381637573
65,-1.5210852324962616,-1.6357952952384949
66,-1.2868331491947174,-1.6060377955436707
67,-1.5058746695518495,-1.6303545832633972
68,-1.4196230232715608,-1.5615448951721191
69,-1.3874649047851562,-1.6273466348648071
70,-1.5385729789733886,-1.6425649523735046
71,-1.241425159573555,-1.6036641001701355
72,-0.06922624707221985,-1.6044121384620667
73,-1.371422678232193,-1.5750659704208374
74,-1.3406614750623702,-1.6125391721725464
75,-1.5178092956542968,-1.6498703360557556
76,-1.5657404959201813,-1.6762519478797913
77,-1.3687517464160919,-1.6721766591072083
78,-1.5833842635154725,-1.6887234449386597
79,-1.578973913192749,-1.6869823336601257
80,-1.5304355919361115,-1.6732428669929504
81,-1.5515771150588988,-1.610079288482666
82,-1.5062487244606018,-1.6659815907478333
83,-1.6026839375495912,-1.6731770634651184
84,-1.4746368646621704,-1.6973981857299805
85,-1.5481185853481292,-1.726310908794403
86,-1.6043954014778137,-1.648551881313324
87,-1.5345838963985443,-1.6826044917106628
88,-1.6226923286914825,-1.7310951948165894
89,-1.6257023870944978,-1.7416850328445435
90,-1.644126570224762,-1.7437423467636108
91,-1.6031530976295472,-1.7216018438339233
92,-1.645540314912796,-1.7098111510276794
