label,kind,feeder,resid_mean_mva,resid_p95_mva,resid_max_mva,W1_Pd,W1_Vm,ACF_head_rmse,W1_head_ramps,XCorr_Pd_rmse,revflow_abs_err_pct,vm_oor_pct,div_pd_ratio,div_vm_ratio,lam,seed,val_nll,best_epoch
real_float32,baseline,rural0,0.00049355358351022,0.0015376207884401083,0.006288836244493723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,
pca_ceiling,baseline,rural0,0.006028781179338694,0.016545377671718597,1.6200965642929077,0.0002851142433818033,2.6894345625522177e-05,0.003394358452318829,0.12215797212251438,0.026183860222531528,0.3409090909090935,0.0,0.9208351316174825,0.9703973797173625,,,,
independent,baseline,rural0,38.27030563354492,135.01641845703125,567.841552734375,0.0012339070333546663,0.00019167357141405827,0.10089469742740022,0.006339826841975768,0.2732546715185383,2.679450757575765,0.0,0.9754509500380263,0.9679297898541598,,,,
gaussian,baseline,rural0,0.0055103120394051075,0.016425108537077904,1.0001469850540161,0.001239893025924012,0.0002964769611429063,0.0996243738564366,0.11585204495364555,0.031221341960341167,4.6747159090909065,0.07160087719298246,0.862034480775249,0.9721579310356094,,,,
real_float32,baseline,semiurb0,0.0005475643556565046,0.00148951995652169,0.0110572325065732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,
pca_ceiling,baseline,semiurb0,0.0064497580751776695,0.01088374387472868,1.5094647407531738,0.00038454878850717103,6.143177293186142e-05,0.010230354457363804,0.2782241911361074,0.01694568882907062,0.5492424242424221,0.0,0.9292821491997435,0.9274369511514566,,,,
independent,baseline,semiurb0,29.935789108276367,92.62472534179688,887.878173828125,0.00246975225148091,0.00017587935502578756,0.035644470330866734,0.018356384416176465,0.36507003965708446,4.499763257575758,0.0,0.9588312828578548,0.9582675628001843,,,,
gaussian,baseline,semiurb0,0.0057977852411568165,0.010187278501689434,1.6364169120788574,0.0021525239427507116,0.0002167115836506228,0.0584563763341624,0.28579046369818123,0.028663354738359,3.460700757575758,0.00817481884057971,0.8442930780524565,0.8524221848813021,,,,
m3_lam0_s42,flow,rural0,18.91631317138672,39.471153259277344,962.5170288085938,0.001672917122351413,0.0008170335284599862,0.15110303062402564,0.09419064759109352,0.2464360218310945,2.640861742424235,0.02552083333333333,0.9493484101786355,0.8823468321124162,0.0,42.0,-1.9456309080123901,90.0
m3_lam0_s42,flow,semiurb0,17.471942901611328,32.031490325927734,1206.8974609375,0.0015213922745462704,0.0005012465968376012,0.07645624486207091,0.23387335739208723,0.24618644571671625,15.452888257575765,0.0019927536231884057,0.822538656804026,0.9014696299197059,0.0,42.0,-1.9456309080123901,90.0
m3_lam0_s43,flow,rural0,13.214136123657227,43.645206451416016,346.95159912109375,0.002247971403516498,0.0007868244132466907,0.2680071774805722,0.05539148902603041,0.254457259369987,5.929450757575765,0.012774122807017544,0.9634052566557529,1.0203476618291438,0.0,43.0,-1.9388375878334045,89.0
m3_lam0_s43,flow,semiurb0,12.90196418762207,37.39654541015625,688.8516235351562,0.0024460467946322588,0.0008209642733728995,0.12864505243801866,0.15642829406481953,0.28148360252658494,16.86174242424243,0.0013134057971014492,0.8568331432190027,1.071599664822414,0.0,43.0,-1.9388375878334045,89.0
m3_lam0_s44,flow,rural0,11.29317855834961,34.44337844848633,374.9633483886719,0.0032209084222177497,0.0013768003358667603,0.22444812853924914,0.13565941260014694,0.23122980832052598,12.512784090909093,0.001206140350877193,0.7699518436876753,0.8031630891070574,0.0,44.0,-1.938914179801941,128.0
m3_lam0_s44,flow,semiurb0,10.168930053710938,28.73151397705078,541.9144897460938,0.005710496360672068,0.0007286467833719668,0.1114109622058104,0.27668447291825865,0.20034086113742378,5.7159090909090935,0.0,0.641124386718402,0.7242657170718696,0.0,44.0,-1.938914179801941,128.0
m3_lam1e3_s42,flow,rural0,0.9693353772163391,3.055121660232544,32.29072570800781,0.01379422975782762,0.022242522523471687,0.625507966151137,0.1417861475206535,0.32026751466636855,18.99242424242425,1.0526315789473684,0.7767069496303772,0.03282803422478311,0.001,42.0,-1.9054875373840332,176.0
