epoch,train_nll_per_dim,val_nll_per_dim
0,-1.1819502472877503,-1.2907772064208984
1,-1.236053568124771,-1.3698604106903076
2,-1.3183753848075868,-1.43587064743042
3,-1.3722973823547364,-1.4814236164093018
4,-1.4100711286067962,-1.5163460969924927
5,-1.4431510031223298,-1.5319589972496033
6,-1.4648596346378326,-1.5549107789993286
7,-1.4939461946487427,-1.584998071193695
8,-1.5211462557315827,-1.5961743593215942
9,-1.5452314078807832,-1.6250977516174316
10,-1.5698975384235383,-1.6328331232070923
11,-1.5899827420711516,-1.6482027173042297
12,-1.6068614304065705,-1.6734899282455444
13,-1.6289140105247497,-1.6862108707427979
14,-1.6497425734996796,-1.7028504014015198
15,-1.6688834726810455,-1.7135430574417114
16,-1.68697469830513,-1.7365607619285583
17,-1.6942266821861267,-1.7356396317481995
18,-1.7127183377742767,-1.7583773732185364
19,-1.7296964943408966,-1.7635388374328613
20,-1.7428142309188843,-1.7781755328178406
21,-1.7587426483631134,-1.7948182821273804
22,-1.767041128873825,-1.7901756763458252
23,-1.7741357505321502,-1.798744559288025
24,-1.776726531982422,-1.804564356803894
25,-1.786644959449768,-1.800983488559723
26,-1.7966926157474519,-1.8123348951339722
27,-1.8139093577861787,-1.8317739367485046
28,-1.8294831216335297,-1.8266010284423828
29,-1.829622346162796,-1.8320012092590332
30,-1.837233990430832,-1.8314738273620605
31,-1.8442580938339233,-1.8464871048927307
32,-1.8578147113323211,-1.8445810079574585
33,-1.8472339928150177,-1.8439565300941467
34,-1.8547442853450775,-1.849895417690277
35,-1.8605058252811433,-1.8563897013664246
36,-1.8697458863258363,-1.8598451614379883
37,-1.8815988421440124,-1.8641204237937927
38,-1.8894878387451173,-1.8451332449913025
39,-1.8857033669948577,-1.8589839339256287
40,-1.8900687634944915,-1.8507936000823975
41,-1.8948576271533966,-1.8791781663894653
42,-1.9057345986366272,-1.8603055477142334
43,-1.908705896139145,-1.8694486021995544
44,-1.9263142704963685,-1.8820819854736328
45,-1.9287966668605805,-1.86784029006958
46,-1.9242022633552551,-1.872458815574646
47,-1.9215449154376985,-1.882477879524231
48,-1.927294534444809,-1.8991060853004456
49,-1.942855989933014,-1.895910382270813
50,-1.9525283038616181,-1.9059191346168518
51,-1.9519218385219574,-1.892314374446869
52,-1.9465453922748566,-1.8982361555099487
53,-1.9538702309131621,-1.8938760161399841
54,-1.9591719448566436,-1.8964834213256836
55,-1.964650774002075,-1.901875376701355
56,-1.967706561088562,-1.9076847434043884
57,-1.9639421224594116,-1.8864348530769348
58,-1.9666212797164917,-1.9052375555038452
59,-1.9728061854839325,-1.9076286554336548
60,-1.9847709357738494,-1.9177892804145813
61,-1.993399429321289,-1.8984657526016235
62,-1.986761498451233,-1.9082934856414795
63,-1.985852563381195,-1.9167670607566833
64,-1.994240653514862,-1.9065262079238892
65,-1.9923357903957366,-1.9016769528388977
66,-1.992734581232071,-1.9134485721588135
67,-1.9975116968154907,-1.9251465797424316
68,-2.0062685668468476,-1.9360135793685913
69,-2.010861814022064,-1.8971688747406006
70,-2.0046148121356966,-1.920186460018158
71,-2.0155687391757966,-1.9172672033309937
72,-2.012606233358383,-1.9041187167167664
73,-2.013000690937042,-1.9170001745224
74,-2.0236509084701537,-1.920414924621582
75,-2.0223765850067137,-1.901308298110962
76,-2.029762953519821,-1.9224531054496765
77,-2.0295878410339356,-1.9182975888252258
78,-2.0217151582241057,-1.9221795201301575
79,-2.029607480764389,-1.9216488003730774
80,-2.0273187160491943,-1.9222410917282104
81,-2.0289577305316926,-1.943881630897522
82,-2.0418563783168793,-1.9364044666290283
83,-2.0422571539878844,-1.9152653813362122
84,-2.0430947124958037,-1.933688998222351
85,-2.059008502960205,-1.9230018258094788
86,-2.0655854105949403,-1.9231244325637817
87,-2.0533044397830964,-1.923426628112793
88,-2.0649778664112093,-1.9358084797859192
89,-2.0652926921844483,-1.921191930770874
90,-2.0673873126506805,-1.9456309080123901
91,-2.065495079755783,-1.9244450330734253
92,-2.0688461363315582,-1.9248645305633545
93,-2.0759714901447297,-1.939698576927185
94,-2.076799762248993,-1.9186429977416992
95,-2.0709350943565368,-1.9261420965194702
96,-2.0740386128425596,-1.9365330934524536
97,-2.0756519556045534,-1.9280238151550293
98,-2.066229385137558,-1.938509225845337
99,-2.076742857694626,-1.942202389240265
100,-2.0933605194091798,-1.9281398057937622
101,-2.0840001583099363,-1.9360620975494385
102,-2.0913037180900576,-1.9303661584854126
103,-2.0939695954322817,-1.924662709236145
104,-2.0966821908950806,-1.9147169589996338
105,-2.091116714477539,-1.905039668083191
106,-2.0954270482063295,-1.9375460147857666
107,-2.105962133407593,-1.9114631414413452
108,-2.094308388233185,-1.9182884693145752
109,-2.093728983402252,-1.9130086302757263
110,-2.104251652956009,-1.9358252882957458
111,-2.113426911830902,-1.932859182357788
112,-2.108430063724518,-1.930583119392395
113,-2.118337619304657,-1.937269687652588
114,-2.125161182880402,-1.9385775923728943
115,-2.1226070284843446,-1.91470468044281
116,-2.1110944509506226,-1.9430830478668213
117,-2.1201051831245423,-1.9139884114265442
118,-2.1217896819114683,-1.932551920413971
119,-2.120184361934662,-1.92544424533844
120,-2.121882688999176,-1.9314591884613037
121,-2.1339891076087953,-1.9335463047027588
122,-2.1377471685409546,-1.909787893295288
