epoch,train_nll_per_dim,val_nll_per_dim
0,51861194380.745964,6.248353719711304
1,115.74148101806641,0.6480820775032043
2,102.06058883666992,-0.4956246614456177
3,108.16145401000976,-0.8592723608016968
4,96.46232833862305,-0.9755977392196655
5,84.26742267608643,-0.9427152276039124
6,28.92691354751587,-0.9753161072731018
7,31.28683967590332,-0.9912284910678864
8,24.30605983734131,-1.053522765636444
9,24.111055374145508,-1.0402680039405823
10,18.594259691238403,-1.0760082602500916
11,16.836567282676697,-1.0261111855506897
12,18.44658408164978,-1.1272996664047241
13,14.17169086933136,-1.1788947582244873
14,48149.26109108925,-1.175934612751007
15,12.81656584739685,-1.2070327997207642
16,11.87999095916748,-1.2025376558303833
17,74.85389816761017,-1.2316004633903503
18,24.292735624313355,-1.2318163514137268
19,14.693501400947572,-1.2237358689308167
20,13.016970205307008,-1.1054126620292664
21,7.706167602539063,-1.2430301308631897
22,10.96764669418335,-1.248319387435913
23,22.391053438186646,-1.2308822274208069
24,15.341652226448058,-1.2196401953697205
25,12.764369308948517,-1.2651696801185608
26,21.60890600681305,-1.2162419557571411
27,7.551315021514893,-1.2369288206100464
28,6.7047463178634645,-1.2811598181724548
29,17.600997161865234,-1.2635813355445862
30,1427.3250792384147,-1.2399978637695312
31,4.711407053470611,-1.138199269771576
32,3.608962059020996,-1.26743882894516
33,5.0259039282798765,-1.2511973977088928
34,3.787505233287811,-0.9980247318744659
35,3.692951464653015,-1.1877723336219788
36,2.6507272958755492,-1.2689619064331055
37,3.742096316814423,-1.0616563558578491
38,2.5555720567703246,-1.2067213654518127
39,3.5052325665950774,-1.2566838264465332
40,2.6196600914001467,-1.2905136346817017
41,2.7472076773643495,-1.263343632221222
42,1.1245768010616302,-1.3063023686408997
43,1.3558995127677917,-1.3291721940040588
44,0.19744109809398652,-1.3427447080612183
45,0.03421090543270111,-1.3322593569755554
46,-0.026783794164657593,-1.339080274105072
47,0.19050709009170533,-1.3558966517448425
48,-0.6071777313947677,-1.3649591207504272
49,-0.5044441252946854,-1.088741660118103
50,-0.662515115737915,-1.2582256197929382
51,-0.7499998658895493,-1.28117173910141
52,-0.4727581024169922,-1.1697062253952026
53,-0.7046117693185806,-1.2389857769012451
54,-0.5186425894498825,-1.2597468495368958
55,-0.7744562745094299,-1.3471588492393494
56,-0.900233456492424,-1.3810667395591736
57,-0.8904235482215881,-1.3091536164283752
58,-0.9342328369617462,-1.3567572832107544
59,-1.054148432612419,-1.3310092687606812
60,-0.992656734585762,-1.3805505633354187
61,-1.1302893489599228,-1.3998178839683533
62,-1.1295952886343001,-1.3705843687057495
63,-1.1904882907867431,-1.4027336835861206
64,-1.1396647900342942,-1.4074400663375854
65,-1.2710923194885253,-1.4211342930793762
66,-1.244517582654953,-1.4372155666351318
67,-1.1764691680669785,-1.4501580595970154
68,-1.2805004179477693,-1.4358124732971191
69,-1.1920527070760727,-1.4588987827301025
70,-1.1894379913806916,-1.4681534171104431
71,-1.2784644067287445,-1.4764244556427002
72,-1.264226073026657,-1.4821036458015442
73,-1.30597665309906,-1.4657373428344727
74,-1.241265320777893,-1.4951656460762024
75,-1.2584392845630645,-1.4997161626815796
76,-1.3226458370685577,-1.4984689950942993
77,-1.3541003942489624,-1.5069211721420288
78,-1.2591279923915863,-1.5087262988090515
79,-1.3314486384391784,-1.4616752862930298
80,0.7989705562591553,-1.354375958442688
81,47677.203959062696,-0.6507262885570526
82,59.76423092484474,-1.0508062243461609
83,-0.6683930724859237,-1.2317556738853455
