epoch,train_nll_per_dim,val_nll_per_dim
0,-1.1855251908302307,-1.284243643283844
1,-1.2299850583076477,-1.3685070276260376
2,-1.307859718799591,-1.4333282113075256
3,-1.3717536628246307,-1.4817739725112915
4,-1.419409853219986,-1.5196296572685242
5,-1.4499956846237183,-1.5499445796012878
6,-1.4832013249397278,-1.5772663354873657
7,-1.5112980604171753,-1.5952914953231812
8,-1.5365708291530609,-1.625088095664978
9,-1.5655974328517914,-1.6412917375564575
10,-1.5872817873954772,-1.6721991300582886
11,-1.6103766322135926,-1.6719387769699097
12,-1.6272744536399841,-1.6944018602371216
13,-1.6459471106529235,-1.7094172835350037
14,-1.6606270849704743,-1.7238749861717224
15,-1.672625869512558,-1.7304577827453613
16,-1.6956963956356048,-1.7447401881217957
17,-1.7116832852363586,-1.7608596682548523
18,-1.7258389055728913,-1.7674570679664612
19,-1.737775409221649,-1.7823811769485474
20,-1.7484230756759644,-1.7788243889808655
21,-1.7557836771011353,-1.789759337902069
22,-1.7701611518859863,-1.8060951232910156
23,-1.779041600227356,-1.8084661364555359
24,-1.789606261253357,-1.808871567249298
25,-1.7954946041107178,-1.8263493180274963
26,-1.8101511776447297,-1.8278578519821167
27,-1.8191084504127502,-1.836658775806427
28,-1.8235816359519958,-1.8249304294586182
29,-1.8339842975139617,-1.8427602648735046
30,-1.8411926925182343,-1.83438241481781
31,-1.8399138510227204,-1.8478807210922241
32,-1.8411469876766204,-1.8361808061599731
33,-1.8458660781383514,-1.8496010303497314
34,-1.8604079067707062,-1.8567054867744446
35,-1.8706989467144013,-1.8469661474227905
36,-1.8701188921928407,-1.8587560057640076
37,-1.8767808556556702,-1.8697131872177124
38,-1.8805132687091828,-1.8632607460021973
39,-1.8841911792755126,-1.8496230840682983
40,-1.8889060139656066,-1.8691797256469727
41,-1.8973557353019714,-1.881066918373108
42,-1.9035081088542938,-1.8821315169334412
43,-1.909440529346466,-1.8795264959335327
44,-1.9089247465133667,-1.8819751739501953
45,-1.9113519072532654,-1.8795825839042664
46,-1.9102023780345916,-1.8865405917167664
47,-1.9308843076229096,-1.8933811783790588
48,-1.9383205235004426,-1.891501784324646
49,-1.9322493910789489,-1.8879628777503967
50,-1.931167685985565,-1.8874552845954895
51,-1.9357162535190582,-1.905975341796875
52,-1.9403138339519501,-1.8979395031929016
53,-1.9506898105144501,-1.900337278842926
54,-1.9615761876106261,-1.9000128507614136
55,-1.9602703988552093,-1.901578664779663
56,-1.9624363243579865,-1.8866599202156067
57,-1.9556308031082152,-1.8928633332252502
