channel,MAE_posterior,MAE_climatology,coverage90_pct,skill_vs_clim
Pd,0.004015938007726439,0.007804182943904086,85.2610153256705,0.485
Qd,0.002062566403816015,0.002784222075674325,85.28169627307558,0.259
Pg,0.005458252269168919,0.037735011917564794,91.83363810518983,0.855
Vm,0.0004814463880915539,0.001945871437427999,88.21229536746779,0.753
Va,0.0006422996856222898,0.007258022277249081,90.25666144200628,0.912
