label,feeder,resid_mean_mva,resid_p95_mva,resid_max_mva,W1_Pd,W1_Vm,ACF_head_rmse,W1_head_ramps,XCorr_Pd_rmse,revflow_abs_err_pct,div_pd_ratio,div_vm_ratio,seed,kind,vm_oor_pct,lam,val_nll,best_epoch
v1_gaussian,rural0,0.0055217863991856575,0.016358276829123497,1.1320240497589111,0.001354292196524075,0.00024153357128422925,0.06680126560556306,0.11171625967281329,0.02457642481166012,8.526278409090907,0.889107582822869,0.9524292721786536,,,,,,
v1_flow,rural0,0.005379689857363701,0.0157887302339077,0.9629713892936707,0.0012972029082363812,0.00023460485344575232,0.1053006789191718,0.11388612055223107,0.032717307807281354,5.3465909090909065,0.8765091459548571,0.922605151061715,42.0,,,,,
v1_flow,rural0,0.005324286408722401,0.01566324383020401,1.1750693321228027,0.0013796259197116983,0.000266580701300031,0.11959453911936575,0.11972862486009095,0.043336314332102215,6.794507575757578,0.8236141827126559,0.8751440286017269,43.0,,,,,
v1_flow,rural0,0.005485074128955603,0.016080142930150032,1.1807969808578491,0.0010246318514982456,0.00023204680336537,0.10165289566671182,0.1122696088143445,0.03953023451951446,7.088778409090914,0.8393771919556771,0.9302640702017375,44.0,,,,,
v1_gaussian,semiurb0,0.005862291902303696,0.010289514437317848,1.7546954154968262,0.002625059610496207,0.0002355140116314658,0.04546896340608424,0.2823398805152286,0.028893624857604987,5.070075757575765,0.87342290584522,0.9043767749854359,,,,,,
v1_flow,semiurb0,0.005700708366930485,0.00996868871152401,1.5590975284576416,0.002748100732961126,0.0002552706767421997,0.03090036603865993,0.28827372445513516,0.028153020770391834,1.2211174242424292,0.8455872827889847,0.8325586388474899,42.0,,,,,
v1_flow,semiurb0,0.005624345038086176,0.009853371419012547,1.4348690509796143,0.0028192260893836617,0.0002457583404017871,0.054916130798882565,0.28960800981055235,0.03032623464551525,3.921638257575758,0.8444176272893578,0.8440856407497126,43.0,,,,,
v1_flow,semiurb0,0.005698303692042828,0.010089011862874031,1.453806757926941,0.0025823678477563715,0.00021064389989229438,0.04136823568647816,0.2916916987544752,0.028448500278548554,2.9893465909090935,0.8793392338613312,0.894450670138818,44.0,,,,,
real_float32,rural0,0.0004935535835102,0.0015376207884401,0.0062888362444937,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,baseline,0.0,,,
pca_ceiling,rural0,0.0060287811793386,0.0165453776717185,1.6200965642929075,0.0002851142433818,2.6894345625522177e-05,0.0033943584523188,0.1221579721225143,0.0261838602225315,0.3409090909090935,0.9208351316174824,0.9703973797173624,,baseline,0.0,,,
independent,rural0,38.27030563354492,135.01641845703125,567.841552734375,0.0012339070333546,0.000191673571414,0.1008946974274002,0.0063398268419757,0.2732546715185383,2.679450757575765,0.9754509500380264,0.9679297898541598,,baseline,0.0,,,
real_float32,semiurb0,0.0005475643556565,0.0014895199565216,0.0110572325065732,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,baseline,0.0,,,
pca_ceiling,semiurb0,0.0064497580751776,0.0108837438747286,1.5094647407531738,0.0003845487885071,6.143177293186142e-05,0.0102303544573638,0.2782241911361074,0.0169456888290706,0.5492424242424221,0.9292821491997436,0.9274369511514566,,baseline,0.0,,,
independent,semiurb0,29.935789108276367,92.62472534179688,887.878173828125,0.0024697522514809,0.0001758793550257,0.0356444703308667,0.0183563844161764,0.3650700396570844,4.499763257575758,0.9588312828578548,0.9582675628001844,,baseline,0.0,,,
m3_lam0_s42,rural0,18.91631317138672,39.471153259277344,962.5170288085938,0.0016729171223514,0.0008170335284599,0.1511030306240256,0.0941906475910935,0.2464360218310945,2.640861742424235,0.9493484101786356,0.8823468321124162,42.0,flow,0.0255208333333333,0.0,-1.94563090801239,90.0
m3_lam0_s42,semiurb0,17.471942901611328,32.031490325927734,1206.8974609375,0.0015213922745462,0.0005012465968376,0.0764562448620709,0.2338733573920872,0.2461864457167162,15.452888257575763,0.822538656804026,0.901469629919706,42.0,flow,0.0019927536231884,0.0,-1.94563090801239,90.0
m3_lam0_s43,rural0,13.214136123657228,43.645206451416016,346.9515991210937,0.0022479714035164,0.0007868244132466,0.2680071774805722,0.0553914890260304,0.254457259369987,5.929450757575765,0.9634052566557528,1.0203476618291438,43.0,flow,0.0127741228070175,0.0,-1.9388375878334043,89.0
m3_lam0_s43,semiurb0,12.90196418762207,37.39654541015625,688.8516235351562,0.0024460467946322,0.0008209642733728,0.1286450524380186,0.1564282940648195,0.2814836025265849,16.86174242424243,0.8568331432190027,1.071599664822414,43.0,flow,0.0013134057971014,0.0,-1.9388375878334043,89.0
m3_lam0_s44,rural0,11.29317855834961,34.44337844848633,374.9633483886719,0.0032209084222177,0.0013768003358667,0.2244481285392491,0.1356594126001469,0.2312298083205259,12.512784090909092,0.7699518436876753,0.8031630891070574,44.0,flow,0.0012061403508771,0.0,-1.938914179801941,128.0
m3_lam0_s44,semiurb0,10.168930053710938,28.73151397705078,541.9144897460938,0.005710496360672,0.0007286467833719,0.1114109622058104,0.2766844729182586,0.2003408611374237,5.7159090909090935,0.641124386718402,0.7242657170718696,44.0,flow,0.0,0.0,-1.938914179801941,128.0
